Wavelength,Flux,BestFit,SkyFlux
4045.759,40.698,39.500,8.308
4046.691,35.173,38.809,11.222
4047.622,38.985,38.558,12.702
4048.555,45.635,39.071,11.698
4049.487,42.769,38.734,9.016
4050.419,45.247,38.082,6.842
4051.352,44.861,38.379,5.857
4052.285,46.624,39.325,5.623
4053.218,42.318,38.625,5.466
4054.152,46.103,38.631,5.493
4055.085,42.241,38.788,5.759
4056.019,40.872,38.873,5.717
4056.953,43.140,38.725,5.231
4057.887,44.023,38.097,4.769
4058.822,42.515,38.113,4.796
4059.757,41.349,39.372,5.100
4060.692,45.422,39.138,5.305
4061.627,40.033,38.308,5.452
4062.562,43.366,38.315,5.532
4063.498,41.838,38.616,5.512
4064.433,40.254,38.697,5.542
4065.369,39.571,38.823,5.698
4066.305,42.905,38.511,5.702
4067.242,43.824,38.489,5.706
4068.178,42.651,39.051,5.501
4069.115,46.305,39.323,5.718
4070.052,45.754,39.109,6.186
4070.990,39.927,38.662,6.008
4071.927,39.610,38.669,5.499
4072.865,41.419,39.077,5.208
4073.803,41.941,39.278,5.209
4074.741,42.379,38.857,5.320
4075.679,44.267,38.518,5.487
4076.618,43.886,38.730,5.837
4077.557,41.524,38.786,6.292
4078.496,40.525,38.787,6.399
4079.435,40.138,38.895,6.128
4080.374,42.298,38.856,5.952
4081.314,43.228,38.854,6.049
4082.254,42.203,38.989,6.065
4083.194,43.848,38.352,5.762
4084.134,42.291,38.030,5.330
4085.075,37.586,38.621,5.098
4086.015,39.919,38.861,5.250
4086.956,42.652,38.163,5.590
4087.898,41.081,38.480,5.772
4088.839,44.652,38.593,5.537
4089.781,45.476,38.672,5.067
4090.722,41.455,38.698,4.821
4091.664,45.812,38.131,4.977
4092.607,44.837,38.804,5.247
4093.549,39.137,38.664,5.350
4094.492,40.314,38.390,5.179
4095.435,41.128,38.299,5.010
4096.378,41.231,38.208,4.828
4097.321,41.450,38.042,4.531
4098.265,38.232,37.959,4.268
4099.208,34.352,38.176,4.298
4100.152,31.640,38.115,4.414
4101.097,28.752,37.866,4.405
4102.041,25.474,37.974,4.177
4102.986,24.102,38.476,3.986
4103.931,28.525,38.125,4.070
4104.876,30.506,38.050,4.289
4105.821,34.475,37.751,4.462
4106.766,40.342,37.952,4.559
4107.712,41.022,38.315,4.664
4108.658,37.885,37.691,4.787
4109.604,37.741,38.663,4.843
4110.551,39.544,39.078,4.743
4111.497,41.135,38.882,4.555
4112.444,40.906,38.726,4.503
4113.391,41.507,38.868,4.667
4114.338,41.845,38.969,4.815
4115.286,45.769,38.770,4.825
4116.233,46.959,39.107,4.859
4117.181,44.247,39.577,5.003
4118.130,44.074,39.735,5.014
4119.078,44.291,39.689,4.661
4120.026,42.701,39.861,4.206
4120.975,41.609,40.091,4.186
4121.924,45.817,40.640,4.557
4122.873,46.467,40.681,4.863
4123.823,43.872,40.222,4.808
4124.772,41.118,40.022,4.740
4125.722,45.170,40.530,5.004
4126.672,46.659,40.748,5.249
4127.623,41.615,41.434,5.137
4128.573,40.681,41.107,5.002
4129.524,42.410,40.543,5.125
4130.475,44.146,40.516,5.030
4131.426,41.064,40.426,4.953
4132.378,46.715,40.514,5.224
4133.329,44.575,40.415,5.285
4134.281,41.993,40.947,5.025
4135.233,44.816,41.065,4.874
4136.185,43.665,40.913,4.998
4137.138,42.762,41.978,5.071
4138.091,44.960,41.998,4.965
4139.044,44.864,41.806,5.003
4139.997,52.098,41.810,5.163
4140.950,50.878,41.705,5.254
4141.904,48.602,41.545,5.086
4142.858,42.453,41.728,4.599
4143.812,45.305,41.595,4.344
4144.766,40.753,41.938,4.477
4145.720,44.908,41.568,4.734
4146.675,48.721,41.642,4.839
4147.630,46.285,42.043,4.781
4148.585,46.712,41.120,4.667
4149.540,45.368,41.707,4.483
4150.496,47.069,41.828,4.229
4151.452,46.886,42.140,4.222
4152.408,46.696,42.195,4.424
4153.364,44.849,42.081,4.548
4154.321,42.092,42.744,4.539
4155.277,41.254,42.760,4.646
4156.234,43.866,42.704,4.889
4157.191,45.110,41.949,5.070
4158.149,44.321,41.953,5.095
4159.106,44.915,42.638,5.068
4160.064,44.457,42.077,5.087
4161.022,42.469,42.309,5.162
4161.980,43.024,42.093,5.191
4162.939,46.248,42.476,5.280
4163.897,48.000,43.005,5.588
4164.856,45.245,42.881,5.973
4165.815,47.182,42.547,6.091
4166.775,49.668,43.119,5.929
4167.734,49.060,42.436,5.763
4168.694,47.050,42.376,5.747
4169.654,43.810,42.646,5.668
4170.614,42.280,42.689,5.559
4171.574,46.025,42.913,5.573
4172.535,41.371,42.372,5.448
4173.496,40.295,43.106,5.250
4174.457,39.916,42.924,5.203
4175.418,43.529,42.528,5.229
4176.380,42.327,42.747,5.138
4177.342,43.500,42.535,5.022
4178.304,44.608,42.143,5.056
4179.266,42.908,43.058,5.122
4180.228,44.382,43.003,5.125
4181.191,44.824,42.572,5.226
4182.154,43.957,42.867,5.081
4183.117,44.890,43.143,4.657
4184.080,44.320,42.636,4.448
4185.044,44.225,44.027,4.649
4186.007,44.878,43.833,4.648
4186.971,40.515,43.353,4.433
4187.936,41.693,43.819,4.302
4188.900,44.672,43.453,4.340
4189.865,44.577,43.121,4.441
4190.830,45.397,43.519,4.519
4191.795,43.017,43.561,4.689
4192.760,45.472,43.797,4.889
4193.725,45.144,44.250,4.895
4194.691,49.689,43.938,4.772
4195.657,46.484,44.202,4.638
4196.623,43.691,43.941,4.376
4197.590,43.344,43.524,4.183
4198.556,40.786,43.813,4.009
4199.523,42.307,44.315,3.913
4200.490,46.108,43.914,4.059
4201.458,44.772,44.366,4.262
4202.425,45.285,44.185,4.129
4203.393,44.683,43.843,3.930
4204.361,48.758,43.965,4.146
4205.329,42.150,44.256,4.286
4206.298,44.895,44.063,4.402
4207.266,46.958,44.224,4.736
4208.235,46.017,44.422,5.063
4209.204,46.044,45.001,5.088
4210.174,45.227,45.070,4.814
4211.143,45.647,44.552,4.559
4212.113,50.860,44.655,4.524
4213.083,51.639,44.845,4.570
4214.053,43.285,44.814,4.628
4215.023,45.655,44.955,4.551
4215.994,43.270,44.964,4.388
4216.965,44.799,44.561,4.313
4217.936,47.043,44.171,4.436
4218.907,44.311,44.441,4.487
4219.879,44.773,44.610,4.432
4220.851,47.821,45.088,4.433
4221.823,48.352,45.101,4.519
4222.795,44.853,44.378,4.551
4223.767,42.696,44.160,4.460
4224.740,46.553,45.173,4.350
4225.713,41.253,45.469,4.222
4226.686,39.142,45.080,3.905
4227.659,41.498,44.523,3.664
4228.633,41.016,44.053,3.774
4229.607,46.526,43.766,4.159
4230.581,47.547,44.052,4.442
4231.555,48.304,44.563,4.455
4232.530,47.861,44.376,4.404
4233.504,44.356,44.344,4.388
4234.479,43.337,44.796,4.321
4235.454,42.488,44.800,4.224
4236.430,41.989,44.911,4.371
4237.405,45.706,44.492,4.528
4238.381,42.583,44.437,4.317
4239.357,45.088,44.370,4.109
4240.333,43.990,44.160,3.921
4241.310,45.802,44.503,4.158
4242.287,45.739,44.741,4.433
4243.263,45.605,45.204,4.305
4244.241,45.592,45.273,4.293
4245.218,44.803,45.089,4.696
4246.196,45.524,45.086,5.215
4247.173,44.026,45.200,5.437
4248.152,48.120,44.813,5.622
4249.130,42.682,44.491,5.411
4250.108,44.889,45.340,4.660
4251.087,44.127,45.687,4.462
4252.066,44.367,44.905,4.727
4253.045,46.884,44.836,4.920
4254.025,49.188,45.359,4.895
4255.004,46.829,45.522,4.813
4255.984,44.365,45.700,4.774
4256.964,47.708,45.629,4.774
4257.945,48.823,45.410,4.920
4258.925,47.565,45.660,5.022
4259.906,45.549,45.487,4.708
4260.887,48.647,44.794,4.328
4261.868,42.064,44.919,4.257
4262.849,47.205,45.381,4.421
4263.831,50.772,45.396,4.523
4264.813,46.590,45.286,4.562
4265.795,43.715,45.680,4.773
4266.778,44.791,45.736,5.105
4267.760,45.026,46.235,5.124
4268.743,44.621,46.081,4.860
4269.726,46.467,45.267,4.824
4270.709,45.637,45.544,4.824
4271.693,40.917,45.649,4.604
4272.676,43.478,44.880,4.400
4273.660,43.376,44.912,4.469
4274.644,44.588,45.388,4.508
4275.629,45.699,45.234,4.488
4276.613,47.426,44.571,4.856
4277.598,47.742,44.784,5.502
4278.583,48.108,45.155,5.769
4279.569,49.421,45.134,5.348
4280.554,47.095,45.219,4.744
4281.540,44.654,45.388,4.669
4282.526,45.397,45.040,4.847
4283.512,44.951,45.243,4.774
4284.499,45.253,45.175,4.497
4285.485,47.375,45.410,4.322
4286.472,41.598,45.653,4.235
4287.459,43.813,45.536,4.246
4288.447,42.377,45.270,4.245
4289.434,41.754,44.917,4.117
4290.422,43.932,45.198,3.964
4291.410,40.399,45.404,4.029
4292.398,41.073,44.911,4.301
4293.387,44.800,44.388,4.529
4294.375,45.775,44.883,4.583
4295.364,43.330,44.864,4.666
4296.353,46.079,44.891,4.638
4297.343,44.657,44.810,4.415
4298.332,41.416,44.766,4.299
4299.322,40.037,44.839,4.334
4300.312,38.376,44.790,4.190
4301.303,39.096,44.605,3.894
4302.293,40.898,44.438,3.708
4303.284,39.469,44.106,3.749
4304.275,40.228,43.753,3.855
4305.266,42.483,43.771,3.994
4306.258,40.466,44.267,4.085
4307.249,40.889,44.386,4.083
4308.241,40.807,43.854,3.984
4309.233,39.354,43.616,4.064
4310.226,37.682,43.927,4.156
4311.218,41.154,44.096,4.162
4312.211,41.742,43.502,4.276
4313.204,40.834,43.413,4.645
4314.197,40.254,44.115,5.155
4315.191,39.112,43.841,5.502
4316.184,44.249,43.775,5.490
4317.178,48.455,44.560,5.326
4318.173,49.813,44.576,5.327
4319.167,48.488,44.043,5.419
4320.162,49.532,44.544,5.450
4321.157,46.387,44.243,5.590
4322.152,46.067,44.027,5.468
4323.147,45.129,44.504,4.979
4324.143,45.958,44.206,4.441
4325.138,43.398,43.348,4.212
4326.134,41.153,43.746,4.370
4327.131,43.481,43.205,4.621
4328.127,43.407,42.690,4.636
4329.124,47.234,43.165,4.502
4330.121,47.178,43.236,4.674
4331.118,41.829,42.573,4.800
4332.115,44.542,43.139,4.587
4333.113,48.763,43.737,4.354
4334.111,45.411,43.896,4.406
4335.109,44.450,43.717,4.576
4336.107,44.997,43.413,4.637
4337.106,42.183,43.941,4.590
4338.104,37.171,44.433,4.394
4339.103,32.514,44.384,4.113
4340.103,27.704,44.059,4.007
4341.102,24.620,43.706,4.080
4342.102,28.698,43.512,4.201
4343.102,33.011,44.182,4.365
4344.102,35.906,43.321,4.520
4345.102,41.456,43.005,4.625
4346.103,42.019,43.540,4.822
4347.104,44.539,43.585,5.108
4348.105,44.759,42.582,5.437
4349.106,46.212,42.756,5.707
4350.108,46.231,43.357,5.642
4351.109,43.004,43.007,5.146
4352.111,42.789,42.939,4.540
4353.114,44.201,43.708,4.357
4354.116,43.681,43.854,4.524
4355.119,46.414,43.585,4.635
4356.122,48.886,43.963,5.023
4357.125,50.629,44.218,7.915
4358.128,51.257,44.166,15.718
4359.132,51.137,44.362,20.973
4360.136,43.457,45.059,19.380
4361.140,47.883,45.058,13.733
4362.144,53.523,45.349,8.829
4363.149,50.628,45.962,6.523
4364.153,50.096,46.084,5.640
4365.158,51.952,45.825,5.310
4366.164,51.727,46.085,5.498
4367.169,48.027,45.819,5.544
4368.175,49.092,45.809,5.410
4369.181,46.626,46.244,5.465
4370.187,47.668,46.284,5.403
4371.193,45.673,45.842,5.166
4372.200,50.252,46.085,5.022
4373.207,48.882,47.125,4.980
4374.214,46.156,46.918,4.964
4375.221,45.440,46.605,5.010
4376.229,43.737,46.471,5.087
4377.236,44.723,46.391,5.156
4378.244,49.629,46.606,5.269
4379.253,51.070,46.864,5.285
4380.261,50.876,46.788,5.158
4381.270,49.493,46.886,5.026
4382.279,46.083,47.015,4.742
4383.288,48.776,47.042,4.403
4384.297,43.468,47.004,4.211
4385.307,41.231,46.263,4.129
4386.317,44.043,47.002,4.182
4387.327,45.651,47.473,4.410
4388.337,47.529,47.338,4.652
4389.348,48.926,47.066,4.669
4390.359,47.882,46.859,4.497
4391.370,48.915,47.327,4.498
4392.381,49.547,47.723,4.755
4393.392,49.915,47.978,4.961
4394.404,49.878,47.809,4.736
4395.416,46.209,47.719,4.520
4396.428,48.262,48.478,4.577
4397.441,50.319,48.345,4.672
4398.453,49.781,48.492,4.728
4399.466,49.015,48.906,4.839
4400.479,46.566,48.966,5.128
4401.493,44.738,48.649,5.370
4402.506,46.104,48.703,5.357
4403.520,48.076,49.211,5.145
4404.534,49.389,48.972,4.928
4405.549,50.547,48.599,4.963
4406.563,47.675,48.923,5.282
4407.578,48.722,49.540,5.520
4408.593,50.097,49.327,5.208
4409.608,47.625,49.182,5.232
4410.624,48.783,49.189,5.406
4411.639,50.772,49.353,5.460
4412.655,52.271,49.559,5.758
4413.671,51.570,49.638,5.947
4414.688,50.077,49.641,5.655
4415.704,48.739,50.056,5.404
4416.721,46.659,50.100,5.594
4417.738,46.918,49.854,5.845
4418.756,49.408,49.777,5.725
4419.773,45.583,50.047,5.357
4420.791,50.592,50.337,5.472
4421.809,51.714,50.261,5.862
4422.827,49.528,50.120,5.488
4423.846,48.131,50.089,5.256
4424.865,47.342,50.336,5.363
4425.884,49.040,50.659,5.417
4426.903,49.297,50.610,5.483
4427.922,48.117,50.516,5.547
4428.942,49.164,50.780,5.247
4429.962,50.734,51.130,4.786
4430.982,49.898,51.033,4.735
4432.003,49.401,50.773,5.017
4433.023,48.803,51.072,5.222
4434.044,47.505,50.849,5.183
4435.065,47.111,50.544,4.824
4436.086,46.157,50.730,4.697
4437.108,46.493,51.109,4.860
4438.130,48.760,51.085,5.093
4439.152,51.879,50.856,5.314
4440.174,52.731,51.889,5.334
4441.197,48.618,51.650,5.192
4442.219,46.954,50.883,5.054
4443.242,48.651,50.895,4.870
4444.266,47.601,51.496,4.705
4445.289,46.004,51.316,4.823
4446.313,47.146,50.805,5.218
4447.337,52.216,51.334,5.291
4448.361,48.640,51.382,4.958
4449.385,51.724,51.357,4.801
4450.410,46.548,51.742,4.931
4451.435,48.961,51.743,4.925
4452.460,49.694,51.509,4.810
4453.485,48.934,51.666,4.695
4454.511,47.675,51.921,4.548
4455.536,46.786,51.568,4.403
4456.562,46.734,51.042,4.435
4457.589,46.910,51.476,4.473
4458.615,48.429,51.593,4.424
4459.642,49.824,51.675,4.437
4460.669,46.352,51.908,4.492
4461.696,45.396,51.866,4.377
4462.724,47.505,51.541,4.329
4463.751,47.573,51.468,4.515
4464.779,47.053,51.293,4.732
4465.808,47.152,51.466,4.908
4466.836,49.346,51.750,4.882
4467.865,48.745,51.546,4.772
4468.893,47.801,51.135,4.704
4469.923,49.093,51.498,4.556
4470.952,50.330,51.934,4.380
4471.982,50.409,51.383,4.468
4473.011,51.676,51.938,4.771
4474.041,53.898,52.537,4.854
4475.072,53.537,52.031,4.818
4476.102,50.221,51.642,4.948
4477.133,50.490,52.230,4.949
4478.164,48.187,52.000,4.824
4479.195,53.028,51.963,4.732
4480.227,52.689,52.407,4.523
4481.259,48.737,52.642,4.311
4482.290,47.033,52.207,4.235
4483.323,47.092,52.137,4.381
4484.355,49.579,52.051,4.757
4485.388,52.375,52.007,5.027
4486.421,51.029,51.738,5.010
4487.454,50.831,51.634,4.969
4488.487,54.385,52.319,4.774
4489.521,50.276,52.148,4.431
4490.555,51.035,52.396,4.522
4491.589,49.605,52.487,4.755
4492.623,49.809,52.458,4.815
4493.658,51.612,52.350,4.884
4494.693,52.650,51.894,4.902
4495.728,54.036,51.880,4.871
4496.763,52.100,52.143,4.862
4497.799,50.719,52.105,4.912
4498.834,52.365,52.098,4.950
4499.870,52.659,52.239,4.924
4500.907,50.591,52.174,4.757
4501.943,49.688,52.547,4.632
4502.980,51.908,52.387,4.787
4504.017,55.565,52.285,4.898
4505.054,53.471,52.465,5.020
4506.091,51.210,52.537,5.241
4507.129,55.117,52.322,5.105
4508.167,52.588,52.867,4.929
4509.205,51.746,53.244,4.854
4510.244,51.734,53.066,4.787
4511.282,55.087,52.858,4.853
4512.321,55.212,52.948,4.916
4513.360,53.629,52.878,4.885
4514.400,53.642,52.253,4.818
4515.439,52.665,52.418,4.778
4516.479,51.167,52.926,4.778
4517.519,52.615,52.938,4.778
4518.559,54.721,52.557,4.773
4519.600,53.604,52.601,4.817
4520.641,53.014,52.690,5.041
4521.682,55.366,53.182,5.018
4522.723,54.181,53.038,4.959
4523.765,53.927,52.768,5.074
4524.806,52.950,52.649,5.015
4525.848,50.778,52.182,4.862
4526.891,50.203,52.674,4.770
4527.933,49.438,52.805,4.747
4528.976,48.258,52.391,4.864
4530.019,46.477,52.054,5.005
4531.062,48.322,52.095,5.073
4532.105,52.581,52.175,5.146
4533.149,51.736,52.176,5.264
4534.193,47.854,52.143,5.350
4535.237,46.914,52.312,5.290
4536.282,48.162,52.373,5.207
4537.326,50.705,52.268,5.301
4538.371,54.228,52.453,5.673
4539.416,54.585,52.809,5.536
4540.462,51.268,53.153,5.359
4541.507,53.616,52.686,5.209
4542.553,54.449,52.335,5.254
4543.599,52.760,52.629,5.512
4544.645,52.735,52.800,5.587
4545.692,52.428,53.159,5.464
4546.739,51.352,53.087,5.499
4547.786,51.136,52.844,5.626
4548.833,50.709,52.858,5.469
4549.881,49.115,53.208,5.216
4550.928,48.445,53.451,5.178
4551.976,51.972,53.053,5.261
4553.025,51.648,52.790,5.413
4554.073,53.912,53.148,5.279
4555.122,49.247,53.420,4.924
4556.171,50.347,53.244,4.751
4557.220,52.500,53.264,4.739
4558.270,52.714,53.530,4.822
4559.319,52.823,53.139,4.985
4560.369,55.159,53.422,5.126
4561.419,55.011,53.870,5.212
4562.470,53.908,53.863,5.216
4563.520,53.427,54.020,5.054
4564.571,53.039,54.400,4.916
4565.623,53.123,54.397,4.979
4566.674,51.743,53.729,4.997
4567.726,52.945,53.470,4.909
4568.777,52.817,54.003,4.973
4569.830,54.220,54.209,5.277
4570.882,51.478,53.813,5.148
4571.935,52.499,54.080,4.907
4572.987,52.886,54.248,4.811
4574.040,55.060,54.418,4.803
4575.094,54.640,54.567,4.894
4576.147,55.010,54.197,4.962
4577.201,54.160,54.296,4.985
4578.255,51.881,54.204,5.084
4579.310,53.544,54.300,5.179
4580.364,55.245,54.756,5.149
4581.419,52.741,54.785,5.111
4582.474,51.665,53.839,4.981
4583.529,49.836,54.280,4.962
4584.585,48.701,54.084,5.077
4585.640,51.356,53.856,4.788
4586.696,53.385,54.017,4.698
4587.753,53.146,54.350,4.856
4588.809,53.750,54.499,4.962
4589.866,52.411,54.420,5.125
4590.923,54.616,54.080,5.144
4591.980,52.642,54.576,4.923
4593.038,53.991,54.946,4.830
4594.095,55.263,54.813,4.905
4595.153,55.378,55.259,4.885
4596.211,53.855,55.149,4.742
4597.270,52.720,54.686,4.659
4598.329,54.287,54.910,4.744
4599.387,53.649,55.105,4.844
4600.447,51.537,55.048,4.842
